id,centroid,StartTime,EndTime
1,"[(81, 242), (79, 242), (76, 243), (75, 244), (73, 246), (70, 247), (69, 249), (67, 251), (66, 254), (64, 256), (62, 257), (60, 258), (59, 259), (57, 259), (55, 262), (53, 262), (51, 265), (49, 267), (47, 269), (45, 272), (40, 257), (37, 258), (35, 260), (33, 260), (31, 261), (28, 262), (26, 263), (24, 265), (22, 268), (21, 271), (18, 273), (16, 275), (15, 278), (13, 280), (11, 281), (9, 282), (6, 284), (4, 284), (2, 286)]",2023-07-23 15:16:55.527220,
2,"[(236, 39), (236, 39), (237, 38), (237, 38), (238, 38), (239, 38), (239, 38), (240, 38), (240, 37), (241, 38), (242, 38), (242, 37), (243, 37), (244, 36), (245, 36), (245, 36), (246, 36), (246, 36), (247, 36), (247, 35), (246, 36), (246, 35), (247, 35), (247, 35), (248, 35), (248, 35), (249, 35), (249, 34), (250, 34), (251, 33), (251, 33), (252, 34), (252, 33), (253, 33), (253, 33), (254, 33), (255, 33), (256, 33), (257, 33)]",2023-07-23 15:16:55.527229,
3,"[(432, 191), (432, 191), (432, 192), (432, 193), (432, 193), (433, 194), (433, 195), (433, 196), (433, 198), (434, 199), (435, 201), (435, 202), (435, 203), (436, 204), (436, 205), (436, 205), (436, 206), (436, 208), (436, 209), (437, 210), (436, 212), (436, 213), (436, 214), (437, 215), (437, 216), (437, 217), (438, 217), (438, 219), (439, 220), (439, 221), (439, 223), (439, 225), (439, 226), (440, 228), (441, 230), (443, 231), (442, 232), (444, 233), (443, 234)]",2023-07-23 15:16:55.527232,
4,"[(388, 28), (389, 28), (388, 27), (389, 27), (388, 27), (389, 27), (390, 27), (390, 27), (390, 27), (391, 26), (391, 26), (392, 26), (391, 25), (392, 25), (391, 24), (392, 24), (392, 24), (393, 24), (392, 24), (393, 24), (392, 23), (392, 23), (392, 22), (393, 22), (393, 21), (393, 21), (393, 21), (394, 21), (393, 21), (394, 21), (394, 20), (394, 20), (394, 20), (395, 20), (396, 19), (395, 19), (396, 19), (396, 19), (396, 18)]",2023-07-23 15:16:55.527234,
5,"[(438, 50), (437, 49), (437, 49), (437, 50), (437, 49), (438, 49), (437, 49), (437, 48), (437, 48), (438, 47), (437, 46), (437, 46), (437, 46), (437, 46), (437, 46), (437, 46), (437, 46), (437, 46), (436, 46), (436, 45), (435, 45), (435, 44), (435, 43), (435, 43), (435, 43), (435, 43), (435, 43), (435, 42), (435, 42), (435, 42), (435, 42), (436, 42), (435, 41), (436, 40), (436, 40), (436, 40), (436, 39), (436, 39), (436, 38)]",2023-07-23 15:16:55.527236,
6,"[(84, 101), (82, 101), (81, 102), (79, 103), (78, 103), (76, 104), (75, 104), (73, 105), (72, 105), (70, 106), (69, 106), (67, 107), (66, 106), (65, 108), (63, 109), (61, 109), (60, 111), (59, 112), (57, 112), (56, 112), (55, 114), (53, 114), (51, 114), (50, 115), (49, 115), (47, 116), (45, 118), (44, 118), (42, 118), (40, 119), (38, 119), (36, 120), (35, 120), (33, 121), (32, 121), (30, 122), (29, 123), (27, 124), (26, 125)]",2023-07-23 15:16:55.527239,
7,"[(358, 18), (358, 18), (359, 17), (360, 16), (361, 16), (363, 15), (363, 15), (365, 14), (366, 14), (366, 13), (368, 13), (369, 12), (370, 12), (371, 11), (372, 11), (373, 10), (374, 9), (375, 9), (376, 9), (376, 8), (375, 12), (376, 12), (377, 11), (377, 10), (378, 9), (379, 9), (380, 7), (381, 7), (382, 6), (383, 6), (384, 5), (385, 5), (386, 4), (387, 4), (388, 3), (389, 3), (389, 3), (390, 2), (391, 2)]",2023-07-23 15:16:55.527242,
8,"[(215, 87), (216, 86), (216, 86), (217, 86), (218, 84), (219, 85), (220, 85), (221, 84), (222, 84), (223, 83), (224, 82), (225, 81), (226, 81), (226, 81), (227, 81), (228, 80), (228, 80), (229, 80), (229, 79), (230, 79), (231, 77), (231, 76), (232, 76), (233, 75), (234, 75), (234, 74), (235, 74), (236, 74), (237, 74), (238, 74), (239, 72), (240, 72), (241, 71), (241, 71), (242, 70), (243, 70), (243, 70), (244, 70), (245, 70)]",2023-07-23 15:16:55.527244,
9,"[(262, 15), (262, 15), (262, 15), (262, 15), (263, 15), (263, 15), (264, 15), (264, 15), (265, 14), (266, 14), (266, 14), (267, 14), (267, 14), (267, 13), (268, 14), (268, 14), (268, 13), (269, 13), (269, 13), (269, 13), (271, 14), (271, 14), (271, 14), (271, 14), (272, 13), (272, 13), (272, 13), (272, 13), (272, 13), (272, 13), (273, 13), (272, 13), (273, 13), (273, 13), (273, 13), (274, 12), (274, 12), (275, 12), (275, 12)]",2023-07-23 15:16:55.527246,
10,"[(305, 9), (304, 9), (304, 9), (304, 9), (304, 9), (304, 9), (304, 9), (304, 9), (304, 9), (304, 9), (303, 10), (302, 10), (302, 10), (302, 10), (301, 10), (300, 10), (300, 10), (300, 11), (300, 11), (299, 12), (299, 10), (298, 11), (298, 10), (298, 11), (298, 11), (298, 11), (297, 11), (297, 11), (297, 11), (296, 12), (295, 12), (295, 13), (295, 13), (294, 14), (293, 14), (293, 14), (292, 14), (291, 14), (292, 13)]",2023-07-23 15:16:55.527249,
11,"[(196, 83), (197, 82), (198, 81), (198, 80), (199, 79), (200, 79), (202, 78), (203, 78), (204, 78), (204, 78), (205, 78), (206, 77), (206, 77), (207, 76), (208, 76), (209, 75), (210, 75), (210, 75), (212, 74), (212, 74), (210, 76), (210, 77), (212, 75), (212, 75), (213, 74), (214, 74), (215, 73), (215, 72), (216, 70), (217, 71), (218, 71), (220, 71), (220, 71), (220, 71), (222, 71), (223, 70), (223, 70), (224, 69), (224, 69)]",2023-07-23 15:16:55.527252,
12,"[(243, 124), (241, 123), (239, 124), (239, 125), (238, 126), (236, 127), (235, 127), (234, 128), (233, 129), (232, 130), (231, 130), (229, 130), (228, 131), (227, 131), (226, 132), (225, 133), (224, 134), (223, 134), (223, 136), (222, 136), (220, 146), (219, 146), (218, 146), (215, 149), (216, 148), (215, 149), (213, 148), (212, 149), (210, 150), (209, 151), (208, 152), (207, 153), (206, 154), (205, 155), (204, 156), (202, 157), (201, 157), (200, 158), (199, 159)]",2023-07-23 15:16:55.527260,
13,"[(476, 71), (476, 71), (477, 69), (478, 69), (479, 69), (480, 70), (480, 69), (481, 69), (482, 69), (482, 68), (483, 68), (483, 67), (484, 67), (484, 66), (485, 66), (486, 66), (486, 65), (487, 65), (487, 65), (488, 65), (488, 65), (488, 65), (488, 65), (488, 65), (488, 65), (488, 65), (488, 65)]",2023-07-23 15:16:55.527263,2023-07-23 15:17:02.306058
14,"[(428, 256), (428, 256), (428, 258), (429, 259), (429, 261), (431, 263), (432, 265), (433, 266), (434, 268), (434, 269), (437, 270), (437, 270), (437, 271), (436, 271), (438, 270), (436, 271), (436, 271), (437, 270), (436, 270), (438, 270), (438, 270), (438, 270), (438, 270), (438, 270), (438, 270), (438, 270), (438, 270)]",2023-07-23 15:16:55.527265,2023-07-23 15:17:02.306060
15,"[(348, 4), (348, 3), (347, 3), (348, 4), (348, 4), (348, 3), (347, 3), (347, 3), (347, 3), (347, 3), (347, 3), (347, 3), (348, 3), (348, 3), (348, 3), (348, 3), (349, 2), (348, 2), (349, 2), (349, 2), (351, 4), (350, 3), (350, 4), (350, 4), (350, 3), (350, 4), (351, 4), (351, 3), (351, 4), (351, 3), (351, 3), (352, 3), (352, 3), (352, 3), (352, 3), (351, 3), (352, 3), (352, 3), (352, 3)]",2023-07-23 15:16:55.527267,
16,"[(274, 6), (273, 6), (274, 6), (273, 6), (273, 5), (273, 6), (274, 6), (273, 6), (274, 6), (273, 6), (274, 6), (273, 6), (274, 6), (274, 6), (275, 6), (274, 6), (275, 6), (274, 6), (275, 6), (275, 6), (275, 6), (275, 6), (275, 6), (275, 6), (275, 6), (275, 6), (275, 6)]",2023-07-23 15:16:55.527269,2023-07-23 15:17:02.306062
17,"[(323, 2), (323, 1), (322, 2), (323, 2), (323, 1), (323, 1), (323, 2), (323, 1), (324, 1), (325, 1), (325, 1), (327, 1), (327, 1), (328, 1), (328, 1), (328, 1), (328, 1), (328, 1), (328, 1), (328, 1), (328, 1), (328, 1), (328, 1), (328, 1), (328, 1), (328, 1), (328, 1)]",2023-07-23 15:16:55.527272,2023-07-23 15:17:02.306050
18,"[(177, 271), (178, 269), (180, 267), (181, 265), (182, 264), (182, 263), (184, 261), (185, 260), (186, 258), (188, 257), (188, 256), (190, 254), (191, 253), (191, 251), (193, 251), (194, 249), (195, 248), (197, 246), (197, 245), (199, 244), (202, 256), (203, 254), (204, 253), (205, 251), (207, 250), (208, 248), (209, 247), (210, 245), (211, 244), (212, 243), (214, 242), (215, 241), (215, 240), (217, 239), (218, 237), (218, 236), (219, 234), (219, 233), (221, 231)]",2023-07-23 15:16:55.527274,
19,"[(108, 75), (109, 75), (110, 74), (111, 73), (112, 72), (113, 71), (115, 71), (115, 70), (116, 70), (117, 70), (118, 70)]",2023-07-23 15:17:02.521564,
